ID;Seccion;Requerimiento;Nivel de Cumplimiento;Comentarios del Proveedor;Solucion / Herramienta Propuesta;Esfuerzo;Fase
4.1.3-b;Integraciones;Arquitectura preparada para S/4HANA sin reimplementacion;Requiere desarrollo;Se cubre por diseno: la plataforma habla contratos canonicos (Customer, Product, Order) y SAP es un adaptador. Migrar es cambiar el adaptador.;Contratos canonicos + adaptadores;Incluido en 4.1.3-a;F0-cimientos
4.1.3-c;Integraciones;Pasarelas de pago locales e internacionales;No cumple;Sin pasarela. Se propone modulo de pagos con proveedores enchufables (Bisa, BCP, Libelula).;Modulo de pagos + adaptadores de pasarela;L;F0-cimientos
4.1.3-d;Integraciones;Integracion con operadores logisticos (DriveIn);No cumple;Sin integracion logistica.;Adaptador logistics;M;F0-cimientos
4.1.3-e;Integraciones;Mensajeria transaccional (correo, SMS, WhatsApp) - Cognos;No cumple;Ni siquiera hay correo de confirmacion de pedido. Pendiente decision de proveedor.;Adaptador messaging + outbox;M;F0-cimientos
4.1.3-f;Integraciones;Validacion de condiciones comerciales y estado del cliente contra SAP;No cumple;Depende de 4.1.3-a. El cupo de credito esta diferido a Fase 2 por el propio pliego.;Adaptador SD-03 / FI-01;L;F0-cimientos
4.1.3-g;Integraciones;APIs expuestas con HTTPS, REST y OAuth 2.0 (AT0004, KO);Requiere desarrollo;Hoy HTTPS y REST si; la autenticacion es JWT de Supabase, no OAuth 2.0 completo. Es criterio KO.;Capa OAuth 2.0 sobre las APIs expuestas;F4-plataforma;F0-cimientos
4.1.3-h;Integraciones;Endpoints compatibles con Airflow/MOVEit/Control-M y Kafka/RabbitMQ/PubSub (AT0016, KO);No cumple;Componente nuevo fuera del stack actual. Criterio KO.;Broker + conectores;L;F4-plataforma
4.1.3-i;Integraciones;Endpoints SFTP (AT0017, KO);No cumple;Componente nuevo. Criterio KO.;Servicio SFTP gestionado;M;F4-plataforma
4.1.3-j;Integraciones;Documentacion OpenAPI descargable con notificacion de cambios de version (AT0010);Requiere desarrollo;PostgREST genera OpenAPI automaticamente. Falta el ciclo de vida y las notificaciones de version.;OpenAPI + politica de versionado;S;F0-cimientos
4.1.4-a;Seguridad;Cifrado en transito y en reposo, IAM, OWASP Top 10;Requiere desarrollo;TLS y cifrado en reposo los da la plataforma. IAM y RLS implementados y probados. Falta auditoria OWASP formal.;TLS 1.3 + RLS + pentest;M;F4-plataforma
4.1.4-b;Seguridad;PCI-DSS y proteccion de datos personales;Requiere desarrollo;Se propone delegar PCI-DSS a pasarela certificada (el pliego lo admite en 7.4). Datos personales: pendiente revision normativa boliviana.;Tokenizacion en pasarela;M;F0-cimientos
4.1.4-c;Seguridad;Auditoria y trazabilidad de operaciones criticas (AD003, KO);Cumple;Bitacora append-only implementada con trigger SECURITY DEFINER (order_status_events): un cambio de estado sin evento es un estado imposible, no algo que vigilar. Sin GRANT de INSERT/UPDATE/DELETE.;Patron ya en produccion, extensible;-;F0-cimientos
4.1.4-d;Seguridad;Tokenizacion de medios de pago y conciliacion con SAP;No cumple;Depende del modulo de pagos y del adaptador FI-04.;Modulo de pagos + FI-04;L;F0-cimientos
4.1.4-e;Seguridad;Roles y permisos granulares por canal y modulo, MFA, SSO, auditoria inmutable (AC0002, KO);Requiere desarrollo;RBAC por rol de app implementado y probado (owner/admin/catalog/orders/viewer). Falta granularidad por canal, MFA y SSO corporativo.;RBAC por canal + Entra ID + MFA;L;F0-cimientos
4.1.4-f;Seguridad;Pentesting y analisis de vulnerabilidades con SLA de remediacion (AC0003);No cumple;Sin programa de pentesting.;Programa periodico SAST/DAST + pentest;M;F4-plataforma
4.1.5-a;Escalabilidad;Escalado dinamico ante picos;Requiere desarrollo;Depende del modelo de despliegue (consulta A.1). Ver tambien contradiccion de multiplicador de pico (consulta B.2).;Autoescalado segun plataforma elegida;L;F4-plataforma
4.1.5-b;Escalabilidad;Alta disponibilidad con redundancia y recuperacion (AA0016, KO);Requiere desarrollo;Depende del modelo de despliegue. RTO/RPO por declarar.;HA + DR segun A.1;L;F4-plataforma
4.1.5-c;Escalabilidad;Experiencia responsive en escritorio, tablet y movil;Cumple;Mobile-first real, design system con tokens y densidad, WCAG AA verificado en el gate.;React + MUI + design system EBIM;-;F0-cimientos
4.1.6-a;Marketing;Motor de promociones: vigencias, cupones, descuentos por volumen, combinaciones;No cumple;Sin motor de promociones.;Modulo de promociones;L;F3-b2c
4.1.6-b;Marketing;Notificaciones y campanas por multiples canales;No cumple;Depende de 4.1.3-e.;Adaptador messaging;M;F3-b2c
4.1.6-c;Marketing;Reglas de gobierno de precios entre canales con alertas de solapamiento;No cumple;Depende de listas de precios (4.1.2-c) y canales.;Motor de reglas de precio;L;F3-b2c
4.1.6-d;Marketing;Motor de recomendaciones (cross-sell, up-sell) por historial;No cumple;Sin motor de recomendaciones.;Recomendador sobre historial;L;F3-b2c
4.1.6-e;Marketing;Carrusel de banners administrable con vigencias y segmentacion por canal y oficina;No cumple;Existe banner unico de portada configurable; no hay carrusel ni segmentacion.;Extension de branding a carrusel;M;F3-b2c
4.1.6-f;Marketing;Categorizacion de clientes (oro/plata/bronce) con beneficios diferenciados;No cumple;Depende del maestro de clientes.;Segmentacion en customer_accounts;M;F3-b2c
4.1.6-g;Marketing;Cupones y gift cards con vigencia, trazabilidad y reflejo contable en SAP;No cumple;Sin cupones ni gift cards. discount_total existe en orders y el CHECK de cuadre ya lo contempla.;Modulo de promociones + FI;L;F3-b2c
4.1.6-h;Marketing;Chatbot 24/7 via WhatsApp y/o web con derivacion a agente;No cumple;Fuera del producto actual. Se propone integracion con proveedor externo.;Integracion de terceros;M;F3-b2c
4.1.6-i;Marketing;Carrito persistente entre sesiones y dispositivos, asociado al usuario;Requiere desarrollo;Carrito persistente por tienda en localStorage, con aislamiento entre tiendas probado. Falta persistencia servidor asociada al usuario autenticado.;Carrito servidor para canales con sesion;M;F3-b2c
4.1.7-a;Analitica;Reporteria operativa y comercial con exportacion;Requiere desarrollo;Listado de pedidos con buscador, tabs de estado y exportacion CSV. KPIs de panel. Falta reporteria comercial completa.;Extension de reporteria;M;F0-cimientos
4.1.7-b;Analitica;Analitica de comportamiento, abandono de carrito y conversion;No cumple;Sin instrumentacion analitica.;Eventos + panel de analitica;L;F0-cimientos
4.1.7-c;Analitica;Integracion con Google Analytics u otras;No cumple;Sin integracion.;GA4;S;F0-cimientos
4.1.7-d;Analitica;Exposicion a data warehouse corporativo (AD002, KO);No cumple;Criterio KO. Ver consulta A.2: el pliego pide GCP mientras la infra es Azure.;Conector data lake;L;F4-plataforma
4.1.8-a;Operacion;Seguimiento e historial de pedidos con estado logistico (BAPIs de tracking);Requiere desarrollo;Historial y estados implementados con bitacora. El comprador anonimo ya recupera su pedido con token de 256 bits sin abrir la tabla. Falta el estado logistico de SAP.;Adaptador SD-05/SD-08;M;F0-cimientos
4.1.8-b;Operacion;Validacion de direccion contra maestro de direcciones empadronadas en SAP;No cumple;Direccion libre hoy. Depende del adaptador SD-09.;Adaptador SD-09;M;F0-cimientos
4.1.8-c;Operacion;Visualizacion y descarga de factura electronica;No cumple;Depende de GusuSoft (FI-03). Ver consulta C.2 sobre la denominacion.;Adaptador FI-03 + GusuSoft;M;F0-cimientos
4.1.8-d;Operacion;Carrito dinamico con recalculo en tiempo real de precios, descuentos e impuestos;Cumple;El precio y el impuesto los calcula SIEMPRE el servidor: create_order rechaza cualquier precio del payload. Impuesto por categoria fiscal, redondeado por grupo de tasa.;create_order + effective_tax_rate;-;F0-cimientos
4.1.8-e;Operacion;Pantalla previa de confirmacion con resumen completo;Cumple;Checkout con resumen e importes del servidor, no del carrito.;Storefront;-;F0-cimientos
4.1.8-f;Operacion;Buscador con autocompletado, sugerencias y tolerancia a errores tipograficos;Requiere desarrollo;Buscador general implementado con sanitizado. Falta autocompletado y tolerancia tipografica.;pg_trgm / busqueda difusa;M;F0-cimientos
4.1.8-g;Operacion;Catalogo que muestre solo productos con stock o con indicacion clara;Cumple;in_stock en la vista publica; el agotado se distingue visualmente en la rejilla.;Storefront;-;F0-cimientos
4.1.8-h;Operacion;Fecha de entrega configurable dentro de ventanas de logistica;No cumple;Sin ventanas de entrega.;Modulo de logistica;M;F3-b2c
4.1.8-i;Operacion;Asignacion automatica de centro de despacho entre los 12;No cumple;Sin modelo de centros. Depende de stock por centro (MM-01/MM-02).;warehouses + reglas de asignacion;L;F3-b2c
4.1.8-j;Operacion;Entrega prioritaria o express con costo diferenciado;No cumple;shipping_total sigue en 0. Las columnas existen y el CHECK de cuadre las contempla.;Reglas de envio;M;F3-b2c
4.2.1;B2C;UX movil, navegacion por categorias/marca/familia, filtros avanzados, fichas con multiples imagenes, cuenta de cliente;Requiere desarrollo;Vitrina mobile-first con categorias, buscador, ficha y galeria. Faltan filtros avanzados, navegacion por marca/familia y cuenta de cliente.;Extension de vitrina B2C;L;F3-b2c
4.2.2;B2C;Checkout simplificado, multiples direcciones, coste de envio, validacion de stock, confirmacion;Requiere desarrollo;Checkout anonimo completo con validacion de stock en la misma transaccion. Faltan multiples direcciones, envio y confirmacion por correo.;Extension de checkout;M;F3-b2c
4.2.3;B2C;Pagos: tarjeta, QR local, transferencia con conciliacion, contra entrega;No cumple;Sin pasarela. El pedido nace en pending y el comercio cobra por su canal.;Modulo de pagos;L;F3-b2c
4.2.4;B2C;Promociones, campanas estacionales con landings, gamificacion (opcional);No cumple;Depende de 4.1.6-a.;Modulo de promociones;L;F3-b2c
4.2.5;B2C;Estabilidad en picos, seguimiento del pedido, devoluciones asistidas, mesa de ayuda;Requiere desarrollo;Seguimiento del pedido implementado. Devoluciones en linea diferidas a Fase 2 por el propio pliego. Falta mesa de ayuda.;Proceso asistido + helpdesk;M;F3-b2c
4.3.1;B2B;Acceso por empresa, multiples usuarios con roles, flujos de aprobacion, multiples sucursales;No cumple;Requiere el maestro de clientes y el canal B2B con sesion. El canal ya existe en el modelo con requires_auth.;customer_accounts + approval_rules;XL;F2-b2b
4.3.2;B2B;Catalogo personalizado por cliente, listas de precios por cliente, descuentos por volumen, UoM del canal;No cumple;La visibilidad por canal ya existe (product_channels). Faltan listas de precios y UoM.;price_lists + uoms;L;F2-b2b
4.3.3;B2B;Pedido masivo, carga CSV/Excel, plantillas recurrentes, pedidos programados, cotizaciones;No cumple;Sin flujos B2B.;Modulo de pedidos B2B;XL;F2-b2b
4.3.4;B2B;Estado de cuenta contra SAP, bloqueo por mora, factura electronica;No cumple;Depende de FI-01 y FI-02. El cupo de credito esta diferido a Fase 2 por el pliego.;Adaptadores FI;L;F2-b2b
4.3.5;B2B;Visibilidad de estado, multiples direcciones, ventanas de entrega, reclamos;No cumple;Depende de logistica y del maestro de clientes.;Modulo de logistica;L;F2-b2b
4.3.6;B2B;Dashboard del cliente y descarga de reportes por periodo;No cumple;Sin portal de cliente.;Portal B2B;L;F2-b2b
4.4.1;Interno;Portal exclusivo, credenciales corporativas (AD/Entra ID), validacion de colaborador activo contra SAP HR, baja automatica, bloqueo por cierre;No cumple;El canal interno existe en el modelo con requires_auth. Falta SSO Entra ID (AI038, KO) y el adaptador de RRHH.;Entra ID + adaptador SAP HR;XL;F1-interno
4.4.2;Interno;Catalogo restringido por oficina, precios preferenciales, precio preferencial vs referencia;Requiere desarrollo;La visibilidad restringida ya funciona: product_channels con lista cerrada, y create_order rechaza un producto fuera de canal. El precio de referencia se resuelve gratis con products.price frente a la lista.;product_channels + price_lists;M;F1-interno
4.4.3;Interno;Limites por colaborador/categoria/periodo, antifraude, aprobaciones por excepcion, limites por SKU/UM/sede, registro auditable;No cumple;Sin modelo de limites. El patron de bitacora auditable ya existe y es reutilizable.;Modulo de limites + antifraude;L;F1-interno
4.4.4;Interno;Descuento por planilla (Fase 2), medios electronicos, reporte de descuentos;No cumple;El pliego difiere el descuento por planilla a Fase 2. En Fase 1 se cubre con pagos electronicos estandar.;Modulo de pagos;M;F1-interno
4.4.5;Interno;Entrega configurable (recojo en oficina/planta), notificaciones, fecha fija mensual por sede;No cumple;Sin modelo de puntos de recojo.;Modulo de logistica interna;M;F1-interno
4.4.6;Interno;Reportes para RRHH y Comercial, alertas de uso indebido;No cumple;Depende de 4.4.3.;Reporteria interna;M;F1-interno
7.1;NF Disponibilidad;99.5% mensual (deseable 99.9%), redundancia, RTO/RPO, plan de contingencia;Requiere desarrollo;Depende del modelo de despliegue. Ver consulta C.1: el pliego pide 99.5% en 7.1 y 99.0% en AI010.;Segun A.1;L;F4-plataforma
7.2;NF Rendimiento;Navegacion <2s, carga inicial <3s, 300 concurrentes, picos x2;Requiere desarrollo;Volumetria baja (200 pedidos/dia). Sin pruebas de carga formales. Ver consulta B.2 sobre el multiplicador de pico.;Pruebas de carga;M;F4-plataforma
7.3;NF Escalabilidad;Escalado horizontal automatico, crecimiento sin reingenieria;Requiere desarrollo;Depende del modelo de despliegue.;Segun A.1;L;F4-plataforma
7.4;NF Seguridad;OWASP, TLS 1.3, PCI-DSS, IAM robusto, anti-DDoS, pentesting;Requiere desarrollo;TLS y RLS cubiertos. Faltan PCI-DSS (por delegacion), anti-DDoS y programa de pentesting.;WAF + pasarela certificada + pentest;L;F4-plataforma
7.5;NF Cumplimiento;Normativa boliviana de datos personales, facturacion SIN, regulaciones sectoriales;No cumple;Requiere revision legal local y el flujo de GusuSoft.;Asesoria legal + GusuSoft;M;F0-cimientos
7.6;NF Mantenibilidad;Monitoreo proactivo, logs centralizados, despliegue automatizado, documentacion;Requiere desarrollo;Documentacion tecnica viva en el repo (STATE.md, architecture.md). Faltan monitoreo y CI/CD formal.;Observabilidad + CI/CD;M;F4-plataforma
7.7;NF Accesibilidad;WCAG 2.1 AA deseable, navegadores modernos, responsive;Cumple;WCAG AA es requisito interno del design system, no un anadido. Foco accesible, contraste verificado y prefers-reduced-motion respetado.;Design system EBIM;-;F0-cimientos
AA0001;Lineamiento KO;Arquitectura moderna y documentada con diagramas actualizados;Requiere desarrollo;architecture.md existe; faltan diagramas de componentes, flujos y dependencias actualizados.;Documentacion de arquitectura;S;F0-cimientos
AA0002/AA0003;Lineamiento;Ultimas 3 versiones de Chrome/Firefox/Edge/Safari, iOS 15+, Android 11+, responsive;Cumple;Objetivo de build moderno y diseno responsive verificado.;Vite + browserslist;-;F0-cimientos
AA0004;Lineamiento;Personalizacion <=20% del core y por configuracion, no por codigo;Cumple;Es principio fundacional del producto: personalizacion = configuracion + datos, nunca forks de schema. Monedas, impuestos, branding y canales ya se configuran sin desplegar.;Arquitectura multitenant EBIM;-;F0-cimientos
AA0007/AA0008;Lineamiento;Feature flags y parametrizacion por interfaz administrativa;Requiere desarrollo;Config por tenant en store_settings.config (ya usada por el limite de tasa). Falta un sistema de flags formal.;Feature flags por tenant;M;F0-cimientos
AA0009;Lineamiento;95% de transacciones <3s, complejas <8s;Requiere desarrollo;Sin medicion formal.;Instrumentacion + SLO;M;F4-plataforma
AA0010/AA0011;Lineamiento;Autoescalado al 80%, hasta 4x capacidad base, respuesta <5min;Requiere desarrollo;Depende del despliegue. Ver consulta B.2.;Segun A.1;L;F4-plataforma
AA0016;Lineamiento KO;Alta disponibilidad con RTO y RPO definidos;Requiere desarrollo;Por declarar segun modelo de despliegue.;Segun A.1;L;F4-plataforma
AA0023;Lineamiento;Ambientes separados DEV/QA/PRD;Requiere desarrollo;Hoy existe un proyecto DEV/QAS. Falta PRD y la promocion entre ambientes.;3 proyectos + pipeline;S;F0-cimientos
AA0026;Lineamiento KO;Definicion y medicion de SLAs;No cumple;Por definir contractualmente.;Modelo de SLA;M;F4-plataforma
AA0028/AA0029;Lineamiento;Arquitectura modular, activar/desactivar sin afectar al resto;Requiere desarrollo;Estructura por features y addons por tenant. Falta el gating formal de modulos.;Gating por addon;M;F0-cimientos
AA0032/AA0033;Lineamiento;Programa de capacitacion y documentacion actualizada;Requiere desarrollo;Documentacion tecnica viva. Falta material de capacitacion funcional.;Plan de formacion;M;F0-cimientos
AT0001;Lineamiento;Consumir APIs de la CIA con HTTPS/REST y OAuth 2.0 o Subscription-Key;No cumple;Depende del framework de integraciones.;Adaptador CIA;L;F0-cimientos
AT0002/AT0003;Lineamiento;Exponer APIs sincronas (<=1s) y asincronas request/callback;Requiere desarrollo;PostgREST cubre sincronas; falta el patron asincrono con callback.;Cola + callbacks;M;F0-cimientos
AT0004;Lineamiento KO;Todas las APIs con HTTPS, REST y OAuth 2.0;Requiere desarrollo;HTTPS y REST si; OAuth 2.0 no. Criterio KO.;Capa OAuth 2.0;F4-plataforma;F0-cimientos
AT0005/AT0006;Lineamiento;Anadir/modificar APIs y gestionar headers de seguridad;Requiere desarrollo;Viable; falta el listado de headers que aporte Alicorp en diseno.;Configuracion de gateway;S;F0-cimientos
AT0010;Lineamiento;Documentacion OpenAPI descargable;Requiere desarrollo;PostgREST la genera; falta publicarla y versionarla.;OpenAPI publicado;S;F0-cimientos
AT0016;Lineamiento KO;Orquestadores y mensajeria (Kafka/RabbitMQ/PubSub);No cumple;Componente nuevo. Criterio KO.;Broker gestionado;L;F4-plataforma
AT0017;Lineamiento KO;Endpoints SFTP;No cumple;Componente nuevo. Criterio KO.;SFTP gestionado;M;F4-plataforma
AD002;Lineamiento KO;Carga incremental/delta/streaming/full al data lake (GCP);No cumple;Criterio KO. Ver consulta A.2 sobre GCP frente a Azure.;Conector data lake;L;F4-plataforma
AD003;Lineamiento KO;Auditoria de datos (quien y cuando) en alta, cambio y baja;Cumple;Bitacora append-only por trigger SECURITY DEFINER, sin GRANT de escritura para anon ni authenticated. Extensible al resto de entidades.;Patron de bitacora EBIM;S;F0-cimientos
AD004;Lineamiento;Modificaciones solo a nivel de aplicacion, sin SQL directo a produccion;Cumple;RLS default deny en toda tabla; operaciones criticas solo por funciones de servidor. service_role jamas en el frontend.;RLS + Edge Functions;-;F0-cimientos
AD005;Lineamiento KO;Informacion confidencial accesible solo por rol;Cumple;RLS por tenant y por rol, con tests de aislamiento por cada tabla. GRANT por columna en las vistas publicas.;RLS + policies;-;F0-cimientos
AD007;Lineamiento;La base de datos no debe ser publica;Requiere desarrollo;Hoy PostgREST se expone publicamente por diseno del stack. Depende de la respuesta A.1.;Segun A.1;L;F0-cimientos
AD009;Lineamiento;Gestion del crecimiento de datos sin comprometer rendimiento;Requiere desarrollo;Indices por tenant definidos. Falta politica de retencion y particionado.;Retencion + particionado;M;F4-plataforma
AD010;Lineamiento;Plan de monitoreo y mantenimiento de BD;Requiere desarrollo;Falta plan formal.;Plan de mantenimiento;S;F4-plataforma
AI005;Lineamiento KO;Autoescalado horizontal y vertical;Requiere desarrollo;Depende del despliegue.;Segun A.1;L;F4-plataforma
AI009/AI018;Lineamiento;Documentacion de infraestructura con diagrama fisico/logico;Requiere desarrollo;Falta.;Documentacion de infraestructura;S;F4-plataforma
AI010;Lineamiento KO;SLA de infraestructura >=99.0%;Requiere desarrollo;Ver consulta C.1 sobre la contradiccion con el 99.5% de 7.1.;Segun A.1;M;F4-plataforma
AI011/AI012;Lineamiento;Azure East US 2 principal y Central US para DR;Requiere desarrollo;Pregunta critica A.1. Condiciona arquitectura, licenciamiento y TCO.;Segun A.1;XL;F4-plataforma
AI016;Lineamiento;Logs con retencion minima de 30 dias;Requiere desarrollo;Retencion por defecto de la plataforma; falta politica explicita.;Politica de logs;F4-plataforma;F0-cimientos
AI022/AI024;Lineamiento;Logs de auditoria integrables con monitoreo corporativo;Requiere desarrollo;Falta integracion con SIEM.;Exportador a SIEM;M;F4-plataforma
AI036;Lineamiento;Solo protocolos seguros (HTTPS/TLS);Cumple;Todo el trafico va por TLS.;TLS;-;F0-cimientos
AI038;Lineamiento KO;SSO con Microsoft Entra ID;No cumple;Criterio KO. Hoy la identidad es propia/hub EBIM. Requiere spike de viabilidad antes de comprometerlo.;Third-Party Auth con Entra ID;L;F0-cimientos
AI043;Lineamiento;Bloqueo de headers de seguridad en produccion;Requiere desarrollo;Falta politica de cabeceras.;CSP + headers;S;F4-plataforma
AI044;Lineamiento;Interfaz web exclusivamente por el Application Gateway de Alicorp;Requiere desarrollo;Depende de A.1.;Segun A.1;L;F4-plataforma
AC0001;Lineamiento KO;Politica de contrasenas personalizable (longitud, complejidad, reutilizacion, vigencia, bloqueo);No cumple;Criterio KO. El proveedor de identidad actual da poco margen; se resuelve con Entra ID (AI038).;Entra ID;M;F0-cimientos
AC0002;Lineamiento KO;RBAC con menor privilegio para todos los tipos de usuario;Requiere desarrollo;RBAC implementado y probado por rol de app. Falta granularidad por canal y por modulo.;RBAC por canal;M;F0-cimientos
AC0003/AC0013;Lineamiento;Pentesting periodico y SAST/DAST;No cumple;Sin programa.;Programa de seguridad;M;F4-plataforma
AC0005;Lineamiento;Desarrollo seguro (OWASP Top 10);Requiere desarrollo;Practicas aplicadas (sin secretos en bundle, validacion en servidor, default deny). Falta auditoria formal.;Auditoria OWASP;M;F4-plataforma
AC0006/AC0007;Lineamiento;Eventos criticos de usuario y alertamiento de actividad anormal;Requiere desarrollo;Bitacora de estados y limite de tasa del checkout implementados. Falta alertamiento.;Alertas + SIEM;M;F4-plataforma
AC0008;Lineamiento;Integracion de logs de seguridad con SIEM;No cumple;Falta.;Exportador a SIEM;M;F4-plataforma
AC0009/AC0028;Lineamiento;Politica de respaldo con pruebas de restauracion y retencion;Requiere desarrollo;Backups de plataforma; falta politica formal y pruebas de restauracion.;Politica de backup;F4-plataforma;F0-cimientos
AC0011;Lineamiento KO;Procedimientos de destruccion y borrado seguro;No cumple;Criterio KO. Sin procedimiento documentado.;Procedimiento de borrado;M;F0-cimientos
AC0014;Lineamiento KO;TLS 1.3 (excepcionalmente 1.2 con sustento);Cumple;TLS 1.3 soportado por la plataforma.;TLS 1.3;-;F0-cimientos
AC0020;Lineamiento;WAF corporativo;No cumple;Depende de A.1 y del Application Gateway.;WAF;M;F4-plataforma
AC0021;Lineamiento;MFA con Microsoft Authenticator para informacion sensible;No cumple;Depende de Entra ID (AI038).;Entra ID + MFA;M;F0-cimientos
AC0025;Lineamiento;Gestion de cuentas privilegiadas (PAM);No cumple;Falta.;PAM corporativo;M;F4-plataforma
AC0031;Lineamiento;Deteccion y reaccion ante DDoS;No cumple;Depende de A.1.;Anti-DDoS;M;F4-plataforma
SD-01;Anexo A - CRITICA;Lectura de maestro de clientes (BAPI_CUSTOMER_GETDETAIL2);No cumple;Fase 1. Depende del framework de integraciones.;Adaptador ERP;L;F0-cimientos
SD-02;Anexo A - FASE 2;Validacion de credito en tiempo real;Fuera de alcance;Diferido a Fase 2 por el propio pliego (no existe BAPI).;-;-;F5-diferido
SD-03;Anexo A - CRITICA;Listas de precios y condiciones comerciales;No cumple;Fase 1. Depende de price_lists y del adaptador.;Adaptador ERP;L;F0-cimientos
SD-04;Anexo A - CRITICA;Creacion de pedido de venta (BAPI_SALESORDER_CREATEFROMDAT2);No cumple;Fase 1. Es el adaptador que se propone construir primero, end to end, para validar el contrato canonico.;Adaptador ERP;L;F0-cimientos
SD-05;Anexo A - ALTA;Consulta de estado del pedido;No cumple;Fase 1.;Adaptador ERP;M;F2-b2b
SD-06;Anexo A - ALTA;Historial de pedidos por cliente;No cumple;Fase 1.;Adaptador ERP;M;F2-b2b
SD-07;Anexo A - CRITICA;Lectura de maestro de materiales;No cumple;Fase 1.;Adaptador ERP;L;F0-cimientos
SD-08;Anexo A - ALTA;Datos de entrega y fecha estimada;No cumple;Fase 1.;Adaptador ERP;M;F2-b2b
SD-09;Anexo A - ALTA;Validacion de direccion de entrega;No cumple;Fase 1.;Adaptador ERP;M;F2-b2b
SD-10;Anexo A - FASE 2;Notas de credito y devoluciones;Fuera de alcance;Diferido a Fase 2 por el propio pliego.;-;-;F5-diferido
MM-01;Anexo A - CRITICA;Stock disponible (ATP) por material y centro;No cumple;Fase 1. Critico: al estar diferido el push de stock (MM-06), la consulta sincrona es la unica via.;Adaptador ERP;L;F0-cimientos
MM-02;Anexo A - ALTA;Stock multi-centro consolidado;No cumple;Fase 1. Depende del modelo de warehouses (12 centros).;Adaptador ERP;M;F2-b2b
MM-03;Anexo A - CRITICA;Reserva/bloqueo de stock al confirmar;Requiere desarrollo;Fase 1 se cubre con chequeo ATP en la creacion. Hoy el stock se descuenta al confirmar en la misma transaccion, con bloqueo de fila.;create_order + adaptador;M;F0-cimientos
MM-04;Anexo A - ALTA;Delta de cambios en maestro de materiales;No cumple;Fase 1: carga completa programada.;Adaptador ERP;M;F2-b2b
MM-05;Anexo A - ALTA;Unidades de medida alternativas;No cumple;Depende del modelo de UoM (4.1.2-b).;Adaptador ERP + uoms;M;F2-b2b
MM-06;Anexo A - FASE 2;Notificacion push de cambio de stock;Fuera de alcance;Diferido a Fase 2 por el propio pliego.;-;-;F5-diferido
